country_code,latitude,longitude,country,region,income_group
RUS,61.52401,105.318756,Russia,Europe & Central Asia,High income
RWA,-1.940278,29.873888,Rwanda,Sub-Saharan Africa,Low income
WSM,-13.759029,-172.104629,Samoa,East Asia & Pacific,Lower middle income
SMR,43.94236,12.457777,San Marino,Europe & Central Asia,High income
SAU,23.885942,45.079162,Saudi Arabia,Middle East & North Africa,High income
SEN,14.497401,-14.452362,Senegal,Sub-Saharan Africa,Lower middle income
SRB,44.016521,21.005859,Serbia,Europe & Central Asia,Upper middle income
SYC,-4.679574,55.491977,Seychelles,Sub-Saharan Africa,High income
SLE,8.460555,-11.779889,Sierra Leone,Sub-Saharan Africa,Low income
SGP,1.352083,103.819836,Singapore,East Asia & Pacific,High income
SVK,48.669026,19.699024,Slovakia,Europe & Central Asia,High income
SVN,46.151241,14.995463,Slovenia,Europe & Central Asia,High income
SLB,-9.64571,160.156194,Solomon Islands,East Asia & Pacific,Lower middle income
SOM,5.152149,46.199616,Somalia,Sub-Saharan Africa,Low income
ZAF,-30.559482,22.937506,South Africa,Sub-Saharan Africa,Upper middle income
KOR,35.907757,127.766922,South Korea,East Asia & Pacific,High income
ESP,40.463667,-3.74922,Spain,Europe & Central Asia,High income
LKA,7.873054,80.771797,Sri Lanka,South Asia,Lower middle income
SDN,12.862807,30.217636,Sudan,Sub-Saharan Africa,Low income
SUR,3.919305,-56.027783,Suriname,Latin America & Caribbean,Upper middle income
SWE,60.128161,18.643501,Sweden,Europe & Central Asia,High income
CHE,46.818188,8.227512,Switzerland,Europe & Central Asia,High income
SYR,34.802075,38.996815,Syria,Middle East & North Africa,Low income
TWN,23.69781,120.960515,Taiwan,East Asia & Pacific,High income
TJK,38.861034,71.276093,Tajikistan,Europe & Central Asia,Lower middle income
TZA,-6.369028,34.888822,Tanzania,Sub-Saharan Africa,Lower middle income
THA,15.870032,100.992541,Thailand,East Asia & Pacific,Upper middle income
TLS,-8.874217,125.727539,Timor-Leste,East Asia & Pacific,Lower middle income
TGO,8.619543,0.824782,Togo,Sub-Saharan Africa,Low income
TON,-21.178986,-175.198242,Tonga,East Asia & Pacific,Upper middle income
TTO,10.691803,-61.222503,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,33.886917,9.537499,Tunisia,Middle East & North Africa,Lower middle income
TUR,38.963745,35.243322,Turkey,Europe & Central Asia,Upper middle income
TKM,38.969719,59.556278,Turkmenistan,Europe & Central Asia,Upper middle income
TCA,21.694025,-71.797928,Turks and Caicos Islands,Latin America & Caribbean,High income
TUV,-7.109535,177.64933,Tuvalu,East Asia & Pacific,Upper middle income
VIR,18.335765,-64.896335,U.S. Virgin Islands,Latin America & Caribbean,High income
UGA,1.373333,32.290275,Uganda,Sub-Saharan Africa,Low income
UKR,48.379433,31.16558,Ukraine,Europe & Central Asia,Upper middle income
ARE,23.424076,53.847818,United Arab Emirates,Middle East & North Africa,High income
GBR,55.378051,-3.435973,United Kingdom,Europe & Central Asia,High income
USA,37.09024,-95.712891,United States,North America,High income
URY,-32.522779,-55.765835,Uruguay,Latin America & Caribbean,High income
UZB,41.377491,64.585262,Uzbekistan,Europe & Central Asia,Lower middle income
VUT,-15.376706,166.959158,Vanuatu,East Asia & Pacific,Lower middle income
VNM,14.058324,108.277199,Vietnam,East Asia & Pacific,Lower middle income
YEM,15.552727,48.516388,Yemen,Middle East & North Africa,Low income
ZMB,-13.133897,27.849332,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,-19.015438,29.154857,Zimbabwe,Sub-Saharan Africa,Lower middle income
